Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
tvol_lidarLiveP_in_,TopKAverage,20,None,None,20,0.7597849978577291,8541.437164327173,69.95748890510193,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top35', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top25', 'pred_RF_XGB_RF_Top20', 'pred_RF_XGB_RF_Top25', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_RF_RF_Top20']"
tvol_lidarLiveP_in_,FS_MetaModel,20,LinearRegression,RF,5,0.7792859936673028,7848.031136960781,68.12686275419287,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top27']"
tvol_lidarLiveP_in_,FS_MetaModel,20,RandomForest,RF,11,0.5041047347429372,17632.779845165234,96.37335969399203,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top27', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top31']"
tvol_lidarLiveP_in_,FS_MetaModel,20,XGBoost,RF,19,0.3971163741285595,21437.015015127065,99.687671349,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top27', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top31', 'pred_RF_XGB_RF_Top20', 'pred_RF_RF_Top30', 'pred_RF_RF_Top15', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top25', 'pred_XGB_RF_Top25', 'pred_RF_RF_Top20', 'pred_RF_XGB_RF_Top25']"
tvol_lidarLiveP_in_,FS_MetaModel,20,LinearRegression,RFE_RF,7,0.7824786956811088,7734.506738433858,66.93176170270837,"['pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30', 'pred_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,20,RandomForest,RFE_RF,12,0.5030743706060823,17669.41698461463,97.14280831050401,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,20,XGBoost,RFE_RF,9,0.4923892004350847,18049.35457715377,103.98725032980859,"['pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,20,LinearRegression,XGB,4,0.7728519426488886,8076.809697815661,69.44744881605186,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top31']"
tvol_lidarLiveP_in_,FS_MetaModel,20,RandomForest,XGB,13,0.4991420444984115,17809.240542921867,96.37618400325604,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top31', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top27', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top25', 'pred_RFE_RF_RF_Top37', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top20']"
tvol_lidarLiveP_in_,FS_MetaModel,20,XGBoost,XGB,18,0.38644018801247415,21816.633157424425,105.08648085827734,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top31', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top27', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top25', 'pred_RFE_RF_RF_Top37', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top20', 'pred_RF_RF_Top20', 'pred_RFE_RF_RF_Top25', 'pred_RFE_RF_RF_Top35']"
tvol_lidarLiveP_in_,FS_MetaModel,20,LinearRegression,RF_XGB,16,0.7895219024864013,7484.068140401847,69.08446693767469,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_XGB_RF_Top25', 'pred_RF_RF_Top30', 'pred_RF_XGB_RF_Top20', 'pred_XGB_RF_Top25', 'pred_RFE_RF_RF_Top20']"
tvol_lidarLiveP_in_,FS_MetaModel,20,RandomForest,RF_XGB,8,0.5100689862653274,17420.706164685584,94.88878583124001,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,20,XGBoost,RF_XGB,19,0.39470007188747347,21522.932603862988,100.43371993298437,"['pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top15', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top20', 'pred_RF_XGB_RF_Top25', 'pred_RF_RF_Top30', 'pred_RF_XGB_RF_Top20', 'pred_XGB_RF_Top25', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_RFE_RF_RF_Top25', 'pred_RF_RF_Top20']"
tvol_lidarLiveP_in_,RandomAverage,30,None,None,30,0.7698220158065037,8184.546223452854,70.89881580280071,"['pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top16', 'pred_RFE_RF_RF_Top35', 'pred_RF_RF_Top31', 'pred_RFE_RF_XGB_Top5', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_Top5', 'pred_RFE_RF_XGB_Top10', 'pred_RFE_RF_RF_Top30', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_Top10', 'pred_RF_RF_Top25', 'pred_XGB_XGB_Top5', 'pred_XGB_RF_Top10', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_XGB_Top15', 'pred_RFE_RF_XGB_Top20', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_XGB_Top31', 'pred_RF_XGB_Top20', 'pred_RFE_RF_RF_Top25', 'pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top15', 'pred_RFE_RF_XGB_Top25', 'pred_RF_RF_Top10', 'pred_RFE_RF_XGB_Top30', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top27', 'pred_RF_RF_Top20']"
tvol_lidarLiveP_in_,TopKAverage,30,None,None,30,0.764807929826272,8362.834423418471,70.07885677038401,"['pred_RF_RF_Top31', 'pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top30', 'pred_RFE_RF_RF_Top20', 'pred_RFE_RF_RF_Top35', 'pred_XGB_RF_Top20', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_RFE_RF_RF_Top25', 'pred_RF_XGB_RF_Top20', 'pred_RF_XGB_RF_Top25', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_RF_RF_Top20', 'pred_XGB_RF_Top10', 'pred_XGB_XGB_Top16', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top21', 'pred_RF_XGB_RF_Top10', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_RF_RF_Top10', 'pred_RFE_RF_XGB_Top31', 'pred_XGB_XGB_Top10']"
tvol_lidarLiveP_in_,FS_MetaModel,30,LinearRegression,RF,11,0.7829375930799588,7718.189509026058,71.28127460312909,"['pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top10', 'pred_XGB_RF_Top10', 'pred_XGB_RF_Top27', 'pred_RF_XGB_Top21', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top16', 'pred_XGB_RF_Top15', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,30,RandomForest,RF,14,0.557620612105794,15729.890767829615,86.99132494085603,"['pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top10', 'pred_XGB_RF_Top10', 'pred_XGB_RF_Top27', 'pred_RF_XGB_Top21', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top16', 'pred_XGB_RF_Top15', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_XGB_Top31', 'pred_RF_RF_Top25', 'pred_RF_XGB_RF_Top15']"
tvol_lidarLiveP_in_,FS_MetaModel,30,XGBoost,RF,13,0.5495193271606496,16017.951945075647,92.16329312695703,"['pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top10', 'pred_XGB_RF_Top10', 'pred_XGB_RF_Top27', 'pred_RF_XGB_Top21', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top16', 'pred_XGB_RF_Top15', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_XGB_Top31', 'pred_RF_RF_Top25']"
tvol_lidarLiveP_in_,FS_MetaModel,30,LinearRegression,RFE_RF,8,0.7813945001462743,7773.057986074704,70.90124817824403,"['pred_RFE_RF_RF_Top37', 'pred_XGB_RF_Top27', 'pred_XGB_RF_Top15', 'pred_XGB_RF_Top10', 'pred_XGB_XGB_Top16', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top21', 'pred_XGB_RF_Top5']"
tvol_lidarLiveP_in_,FS_MetaModel,30,RandomForest,RFE_RF,11,0.5606915380438229,15620.696418175956,88.26931018349995,"['pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_XGB_RF_Top15', 'pred_XGB_RF_Top10', 'pred_XGB_XGB_Top16', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top21', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top10']"
tvol_lidarLiveP_in_,FS_MetaModel,30,XGBoost,RFE_RF,17,0.5138687145683669,17285.597448525106,99.06370176110157,"['pred_RFE_RF_RF_Top37', 'pred_RF_XGB_RF_Top27', 'pred_XGB_RF_Top27', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top30', 'pred_RF_RF_Top25', 'pred_XGB_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_RF_Top10', 'pred_XGB_XGB_Top16', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top21', 'pred_XGB_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_XGB_Top31', 'pred_XGB_XGB_Top10']"
tvol_lidarLiveP_in_,FS_MetaModel,30,LinearRegression,XGB,5,0.778165648954423,7887.8677578300385,70.0451845954046,"['pred_XGB_RF_Top27', 'pred_XGB_RF_Top5', 'pred_RFE_RF_RF_Top37', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_Top21']"
