mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.05495073795318604,0.007167711112871744,0.002903389930725098,0.001121594937120841,,1,2,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.4416064343090944,0.44384042237464516,0.05812201343854906,0.1791846982666634,0.24495642671344042,0.6860288328579535,0.10646848675373333,0.6147950632736343,0.3156966078039978,0.49387485397010567,0.3584573839761817,0.201520064804067,100
0.09786529541015625,0.010668021773275822,0.003354597091674805,0.0009758028087382952,,1,2,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.4510669280854166,0.43693688332567415,0.05435246021225404,0.17964716647226053,0.24345543446885642,0.6851656361771585,0.09871774755894025,0.6194410283952505,0.3168985727979621,0.48789047281562326,0.35735723303093964,0.20327254753131221,106
0.15310227870941162,0.010495625668379556,0.007225728034973145,0.002737047446832404,,1,2,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.4540571569850834,0.4375560854310694,0.04940823530284322,0.18090462388636275,0.24465987767751562,0.6859734106107864,0.10165102313631047,0.617582299244115,0.3134455466933378,0.49294451707076703,0.3578182776038191,0.2039247162065459,103
0.05273721218109131,0.008532898713524282,0.003676605224609375,0.0037837955361944313,,1,5,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.45637853554424057,0.4611002889675664,0.0674135021934712,0.20103610241956804,0.22749679405111478,0.6911497447325954,0.1051746958204759,0.6125196971181578,0.33412048073616973,0.5070589075620614,0.36634487491454204,0.2020394400891867,88
0.10990560054779053,0.007368790674257872,0.0036578655242919924,0.0012821606498220107,,1,5,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.4597512810836337,0.4536736872112376,0.06485969731480101,0.20311734743013588,0.22242413831825159,0.689476023845987,0.0969169577912341,0.6183853168058027,0.33476353635262734,0.5031813886359028,0.3646549374789613,0.2036721322285732,94
0.15115702152252197,0.012470905132216034,0.006080794334411621,0.002394444007475181,,1,5,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.46120717237386544,0.453388479277372,0.06306746860350143,0.2037442957191088,0.2268305709476517,0.6898488875195723,0.10063159091124607,0.6168389028731978,0.33321272821308245,0.5074127823760539,0.36561828788146516,0.20333570443193597,91
0.04932115077972412,0.01234900768468484,0.0017162084579467774,0.0001587768589538597,,1,10,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.47372823733049796,0.47966229251670356,0.09897109539825388,0.23016405134442297,0.23114312758818345,0.6991528112196859,0.11308049031420109,0.6125265935942891,0.35991491125919184,0.5195899624439373,0.3817933573009367,0.19731541896359903,75
0.10391049385070801,0.030643131776967467,0.0033390998840332033,0.001154405692422241,,1,10,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.4759329311231194,0.47457988201517753,0.0973552933136077,0.23121958391745967,0.22422436370577992,0.698080103643125,0.1063238014556892,0.6165799483894882,0.35880051958010006,0.512364451846463,0.379546087899001,0.1986075437465231,82
0.1568650484085083,0.014128596341476639,0.007401776313781738,0.001979860198170845,,1,10,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300, 'random_state': 42}",0.47812554991670575,0.47654208815500143,0.09556031222281614,0.23193666119791,0.22893011206031388,0.6986556511770153,0.11123072057047556,0.6144721613486972,0.35568854931925176,0.5141768492085814,0.38053186551767687,0.19797651031927915,79
0.05829246044158935,0.008534566202682788,0.002884531021118164,0.0011184515366594392,,2,2,100,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.44325576983514836,0.4883059531230569,0.0932218178511166,0.22795882221958697,0.26475563823833426,0.6802743759627152,0.1105446689320303,0.6173831878976854,0.37761419714498456,0.5508552556817885,0.3854169686886447,0.19554958692451585,70
0.10816071033477784,0.010567033532037976,0.00416269302368164,0.00151004420245429,,2,2,200,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.44791193579689936,0.48587957030138007,0.09620881136080495,0.2296713534590472,0.2610564591473258,0.6786203145027392,0.10900776911512378,0.6233446584283882,0.37634039032207667,0.5484630139084945,0.38565042763422797,0.19570580772028162,67
0.1588205099105835,0.014950808838407494,0.005302906036376953,0.0022402282642253655,,2,2,300,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.45271942565552004,0.48986635708704873,0.0948081053210813,0.23194138239501105,0.2678004626307745,0.6804374631853805,0.11325365634449602,0.621903064927573,0.37157592791214034,0.5503474582088774,0.3874653303667903,0.19536338510705678,54
