FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RFE_RF,XGB,4,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6877531651495227,0.08429735941888207,5951.974042544878,1050.3190743024581,57.191890877966884,5.69249509358546,0.7504314005867433,5276.655895779716,53.2095983633665,20.0
XGB,XGB,4,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6877531651495227,0.08429735941888207,5951.974042544878,1050.3190743024581,57.191890877966884,5.69249509358546,0.7504314005867433,5276.655895779716,53.2095983633665,20.0
RF,XGB,4,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6877531651495227,0.08429735941888207,5951.974042544878,1050.3190743024581,57.191890877966884,5.69249509358546,0.7504314005867433,5276.655895779716,53.2095983633665,20.0
XGB,RF,5,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7304977414156323,0.08698100705444611,5115.5689806090395,1184.700943374323,53.892047833809535,5.85708972032324,0.7476125813826978,5336.254495151324,52.94401803729269,24.0
RF_XGB,RF,5,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7304977414156323,0.08698100705444611,5115.5689806090395,1184.700943374323,53.892047833809535,5.85708972032324,0.7476125813826978,5336.254495151324,52.94401803729269,24.0
RFE_RF,XGB,8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7038234740735599,0.08114362683948614,5686.127844307639,1220.7468367428255,57.17996023261039,6.5376722199097035,0.7444193077631154,5403.770224739187,55.32596499273391,26.0
RF_XGB,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7350181951160122,0.08188569913903708,5040.031157669423,1134.5392934662198,53.57178380081454,5.472007305640941,0.7416752494825555,5461.788145817886,52.46248978465597,27.0
XGB,RF,6,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7350181951160122,0.08188569913903708,5040.031157669423,1134.5392934662198,53.57178380081454,5.472007305640941,0.7416752494825555,5461.788145817886,52.46248978465597,27.0
RFE_RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6767021651954146,0.09596480313195106,6186.119510600727,1453.5780431575502,58.35805328685244,7.266931290190151,0.7378632524481077,5542.385611499881,53.58796181602841,29.0
RF,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.6767021651954146,0.09596480313195106,6186.119510600727,1453.5780431575502,58.35805328685244,7.266931290190151,0.7378632524481077,5542.385611499881,53.58796181602841,29.0
