Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,Selected_Features
PRF_Landsat8_9,FS_MetaModel,50,LinearRegression,RF,2,0.7439315446585102,0.06820559295957952,5058.986405250688,1498.7224868011156,53.38635832521739,7.752171140447788,0.7546265612069472,5187.957160953361,51.42239673013726,"pred_XGB_RF_Top7,pred_RFE_RF_RF_Top5"
PRF_Landsat8_9,FS_MetaModel,30,LinearRegression,RFE_RF,2,0.7444498625761389,0.06684100274387716,5047.818302941273,1473.9716002654811,53.45918592313662,7.622997418057371,0.7546265612069472,5187.957160953361,51.42239673013726,"pred_XGB_RF_Top7,pred_RF_RF_Top5"
PRF_Landsat8_9,FS_MetaModel,10,LinearRegression,RF,7,0.7456924255602179,0.068517786086791,5021.175807881533,1500.746598649731,53.258833781154145,7.676916043348014,0.7543111098401352,5194.626783327465,51.20960544366442,"pred_RF_XGB_RF_Top7,pred_XGB_RF_Top7,pred_XGB_RF_Top5,pred_RFE_RF_RF_Top5,pred_RF_RF_Top5..."
PRF_Landsat8_9,FS_MetaModel,30,LinearRegression,RF,5,0.7442762952758423,0.07045252512065908,5055.180845371187,1550.7046122990478,53.41161852006061,7.923532105602659,0.7543111098401349,5194.626783327468,51.209605443664444,"pred_XGB_RF_Top7,pred_RFE_RF_RF_Top6,pred_RF_XGB_RF_Top7,pred_RFE_RF_RF_Top5,pred_RF_XGB_RF_Top5"
PRF_Landsat8_9,FS_MetaModel,10,LinearRegression,RF_XGB,4,0.7459058764045704,0.06664215887422428,5018.801901326475,1466.6856897975183,53.230252279470655,7.619073123524717,0.7543111098401349,5194.62678332747,51.209605443664444,"pred_RF_RF_Top5,pred_RF_XGB_RF_Top7,pred_XGB_RF_Top5,pred_RF_RF_Top6"
PRF_Landsat8_9,FS_MetaModel,10,LinearRegression,XGB,4,0.7458803353342305,0.06686074935617775,5019.493622235294,1471.3201513856839,53.22205584078084,7.607818331876927,0.7543111098401349,5194.62678332747,51.209605443664444,"pred_RF_RF_Top5,pred_RF_XGB_RF_Top7,pred_XGB_RF_Top5,pred_RF_RF_Top6"
PRF_Landsat8_9,FS_MetaModel,10,LinearRegression,RFE_RF,10,0.7459198267007661,0.06937283718913938,5014.1779157741,1515.0060177788723,53.3047589470381,7.645765402286443,0.754139103662593,5198.263528546904,51.22454720807419,"pred_RF_XGB_RF_Top7,pred_XGB_RF_Top7,pred_RF_RF_Top6,pred_RFE_RF_RF_Top6,pred_XGB_RF_Top6..."
PRF_Landsat8_9,FS_MetaModel,40,LinearRegression,RF,4,0.7448880160769151,0.06787962281056141,5040.298634287142,1492.001258062696,53.335315755756824,7.788787608110088,0.753860594595914,5204.152075872869,51.58761870531289,"pred_XGB_RF_Top7,pred_RF_XGB_RF_Top7,pred_XGB_RF_Top5,pred_RF_RF_Top5"
PRF_Landsat8_9,FS_MetaModel,30,LinearRegression,RF_XGB,4,0.7455649994382454,0.06690466364027414,5024.324773656996,1471.007509440304,53.32331571020355,7.621410835574583,0.753471329313577,5212.382353848123,51.48715340417729,"pred_RF_RF_Top5,pred_XGB_RF_Top5,pred_RF_XGB_RF_Top7,pred_XGB_RF_Top6"
PRF_Landsat8_9,FS_MetaModel,54,LinearRegression,RF,2,0.7449416951798391,0.06659949828151646,5039.503858037109,1473.199735641021,53.230570736880466,7.528426717124013,0.7502816883593273,5279.821277599874,52.271884722944556,"pred_RF_XGB_RF_Top7,pred_XGB_RF_Top7"
