Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,Selected_Features
PRF_Landsat8_54,TopKAverage,30,None,None,30,0.7736600087291536,0.05428875880156685,4440.780193917798,1106.3862769486504,49.82009932300135,5.3396068194642945,0.7782642945333733,4688.182008097612,49.415402754458256,"pred_RF_XGB_XGB_Top17,pred_XGB_RF_Top14,pred_RF_XGB_RF_Top15,pred_RF_XGB_Top36,pred_XGB_XGB_Top20..."
PRF_Landsat8_54,RandomAverage,20,None,None,20,0.7690740211432793,0.057924516265574745,4532.6525768097235,1186.928828341346,50.16499876224391,5.6588253525371845,0.776262041121247,4730.515868594409,49.06737431716515,"pred_RF_XGB_Top20,pred_RF_RF_Top10,pred_RFE_RF_XGB_Top10,pred_RFE_RF_RF_Top20,pred_RFE_RF_RF_Top15..."
PRF_Landsat8_54,TopKAverage,37,None,None,37,0.7705939064207536,0.058015254535418115,4505.604202789943,1200.0427615116707,49.87471409368036,5.792615492787785,0.7756553430950165,4743.343350595724,49.00236150419842,"pred_RF_XGB_XGB_Top17,pred_XGB_RF_Top14,pred_RF_XGB_RF_Top15,pred_RF_XGB_Top36,pred_XGB_XGB_Top20..."
PRF_Landsat8_54,RandomAverage,37,None,None,37,0.7705939064207536,0.05801525453541812,4505.604202789944,1200.0427615116712,49.87471409368036,5.792615492787787,0.7756553430950165,4743.343350595724,49.00236150419841,"pred_RF_XGB_Top20,pred_RF_RF_Top10,pred_RFE_RF_XGB_Top10,pred_RFE_RF_RF_Top20,pred_RFE_RF_RF_Top15..."
PRF_Landsat8_54,RandomAverage,30,None,None,30,0.7709894056407036,0.05787612908217014,4497.912123659916,1195.6539710329484,49.85396314443409,5.693860992875675,0.7753076091217628,4750.695527610162,49.157905103594835,"pred_RF_XGB_Top20,pred_RF_RF_Top10,pred_RFE_RF_XGB_Top10,pred_RFE_RF_RF_Top20,pred_RFE_RF_RF_Top15..."
PRF_Landsat8_54,TopKAverage,20,None,None,20,0.7761966876006838,0.051951343065326824,4394.069438443624,1068.6800194374666,49.637549886337275,5.1891408462353,0.7742757121238147,4772.51303746862,50.236808263367756,"pred_RF_XGB_XGB_Top17,pred_XGB_RF_Top14,pred_RF_XGB_RF_Top15,pred_RF_XGB_Top36,pred_XGB_XGB_Top20..."
PRF_Landsat8_54,TopKAverage,10,None,None,10,0.7804901529250147,0.051897441362417265,4301.712708698743,1038.2679587597172,48.98094104119428,5.174891169716579,0.7737461576423652,4783.709465157226,50.58740458016972,"pred_RF_XGB_XGB_Top17,pred_XGB_RF_Top14,pred_RF_XGB_RF_Top15,pred_RF_XGB_Top36,pred_XGB_XGB_Top20..."
PRF_Landsat8_54,FS_MetaModel,20,LinearRegression,RF,6,0.7728126156060263,0.053411383875533,4447.186388031669,1039.2749350366166,50.07455021132603,5.224309949007143,0.7736878067837669,4784.943183672979,50.310138319679986,"pred_RF_XGB_XGB_Top15,pred_XGB_XGB_Top20,pred_RFE_RF_RF_Top15,pred_RF_XGB_Top36,pred_RF_XGB_RF_Top15..."
PRF_Landsat8_54,FS_MetaModel,30,LinearRegression,RF,6,0.7728141137938581,0.05317488943234481,4447.061174023581,1034.464660263489,49.94637882025644,5.212492034443194,0.7733059550999957,4793.016715131752,50.51663413202933,"pred_RF_XGB_XGB_Top15,pred_RFE_RF_RF_Top15,pred_XGB_XGB_Top20,pred_RF_XGB_Top36,pred_RF_XGB_RF_Top15..."
PRF_Landsat8_54,FS_MetaModel,10,LinearRegression,RF_XGB,6,0.7722786801350047,0.053754181180332254,4455.60986340253,1031.612657828643,50.0645018760478,5.225297712150425,0.7731456654237976,4796.405737095781,50.743024898164435,"pred_RF_XGB_RF_Top15,pred_RF_RF_Top15,pred_RF_XGB_XGB_Top15,pred_XGB_XGB_Top20,pred_XGB_XGB_Top15..."
PRF_Landsat8_54,FS_MetaModel,37,LinearRegression,RF,7,0.7720565556628641,0.053805404178751425,4461.162725207041,1044.2129573149512,50.033947975439304,5.248533690918068,0.7726643687286098,4806.581845188917,50.54823351810708,"pred_RF_RF_Top5,pred_RF_XGB_XGB_Top15,pred_XGB_XGB_Top20,pred_RFE_RF_RF_Top15,pred_RF_XGB_Top5..."
PRF_Landsat8_54,RandomAverage,10,None,None,10,0.7664385188317521,0.05680146972206112,4590.754603816284,1181.9110539912558,50.503343548587324,5.595089532566575,0.7720152101675931,4820.307074870606,49.23956343130966,"pred_RF_XGB_Top20,pred_RF_RF_Top10,pred_RFE_RF_XGB_Top10,pred_RFE_RF_RF_Top20,pred_RFE_RF_RF_Top15..."
PRF_Landsat8_54,FS_MetaModel,30,LinearRegression,RF_XGB,7,0.7727062539560344,0.05350106769587512,4448.886889579773,1036.463833091996,49.98281401053923,5.187000095650309,0.7719066767973325,4822.60180765919,50.94226003691894,"pred_RFE_RF_RF_Top15,pred_RF_XGB_RF_Top15,pred_RF_XGB_XGB_Top15,pred_XGB_XGB_Top20,pred_RF_XGB_Top36..."
PRF_Landsat8_54,FS_MetaModel,10,LinearRegression,RF,6,0.7730267011675335,0.05382465490144338,4445.117961177314,1058.5402657708871,50.06271771074092,5.3582666776051,0.7706934127111758,4848.253981483974,50.86975074791146,"pred_RF_XGB_XGB_Top15,pred_RF_XGB_RF_Top15,pred_XGB_XGB_Top20,pred_RF_XGB_Top36,pred_RF_RF_Top15..."
PRF_Landsat8_54,FS_MetaModel,10,LinearRegression,RFE_RF,6,0.7726774150981466,0.05417335519253308,4447.188409162351,1043.1208536505758,50.02102127734732,5.265787475634073,0.7706934127111753,4848.253981483982,50.869750747911496,"pred_XGB_RF_Top14,pred_RF_XGB_RF_Top15,pred_RF_XGB_Top36,pred_XGB_XGB_Top20,pred_RF_XGB_XGB_Top15..."
