FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_R2_Std,CV_MSE,CV_MSE_Std,CV_MAE,CV_MAE_Std,Test_R2,Test_MSE,Test_MAE,R2_Rank
RFE_RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7209647788079587,0.08326594777889004,5301.943995920412,1096.4966019993085,54.468654347273265,5.888816967942801,0.7884059837775113,4473.755175278661,48.45336682155064,1.0
RFE_RF,XGB,15,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7344168901087381,0.07343425858177124,5093.5835734186585,1065.6324978195369,53.87345676179389,6.8672434397070115,0.7874013634366964,4494.995971824555,47.20915331035432,2.0
RF,XGB,36,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7582454500702934,0.06918828633353757,4609.0456497207315,897.9317528852082,51.47195507921199,5.680986263663591,0.7802214239882471,4646.802208310526,49.20369448780604,3.0
RF,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7301720600608124,0.06806580849009519,5154.545553473808,832.9273604577633,53.546745093503375,4.27655117774569,0.7800257902861403,4650.938512837867,48.62319738115112,4.0
RFE_RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.729374471100124,0.07729894567876903,5183.892809631557,1164.7888320846853,53.63363878760104,5.710345367116753,0.778051006578024,4692.6915784111025,49.14757633194211,5.0
RF,XGB,10,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7206771401564717,0.07169943971578399,5336.006185920679,929.6908712293142,54.428093109028964,5.680897759415691,0.7768769380389244,4717.515036544272,49.45207795364863,6.0
RFE_RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7501709036811959,0.07537539517807972,4765.899505795294,1089.744418011291,51.720834659642854,4.653056473124417,0.776751797698409,4720.160892301498,49.15105441798933,7.0
RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7457996572403678,0.07100662338971664,4862.310261884397,1028.6116960100303,52.22124880661968,4.43440475518899,0.7764970173808384,4725.547740118084,49.76543898252924,8.0
RF_XGB,XGB,15,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7559905876694987,0.07267684028249376,4693.100441075834,1193.5974000496108,50.923091038800926,6.3228662725760385,0.7762631435057824,4730.492560758919,50.578907726706845,9.0
RFE_RF,XGB,30,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7349445277949256,0.07889670523636232,5053.495320034157,1126.644176065872,53.3108141029863,5.715183577190423,0.7747462107324341,4762.56523448794,49.55346489796411,10.0
RFE_RF,XGB,25,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 1.0}",0.7414840844939071,0.06482702378772535,4958.479654015371,929.3504609747273,53.395694570020034,4.573404095258538,0.7740094642802189,4778.142344428516,49.12244846956888,11.0
XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.752409089167638,0.06878908583587694,4741.683413598124,1018.1729698493319,51.59611706343985,4.409033194680123,0.7729605002259318,4800.320704905469,50.5449182460665,12.0
RF_XGB,RF,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7537233057566649,0.06719943708054607,4717.624610859665,987.7778042814315,51.43817066579887,4.330602340374766,0.7729403530981774,4800.746677807099,49.938445510052844,13.0
RFE_RF,XGB,35,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'random_state': 42, 'subsample': 0.8}",0.7542500908054458,0.0670110817218507,4709.066647188071,972.3061008830172,51.26801111064204,4.856955332830731,0.7714028704142086,4833.253840519463,50.01064385223873,14.0
RF_XGB,RF,15,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7586267143844333,0.07207358867283403,4625.886384245179,1126.2477635147668,51.04537334942983,4.98834940783335,0.7688547650440899,4887.128708014474,50.586414284118085,15.0
XGB,XGB,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7554645271297655,0.07804232515891055,4680.99153794304,1178.0248825546557,50.997702097362456,5.8639033392499655,0.7685592657876222,4893.376480761143,52.66952736363001,16.0
RF,RF,16,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7569917519819823,0.07340656356446651,4652.588721498506,1139.7287947030695,51.173212268937974,5.018475063883243,0.7670791465908735,4924.670801057618,50.17154244021155,17.0
RF,XGB,25,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'random_state': 42, 'subsample': 0.8}",0.7407831442515442,0.07832391013806579,4953.441036141743,1138.2477590877675,52.37955446676292,5.454960908785461,0.7664769822498563,4937.402426862015,50.32643400168766,18.0
RFE_RF,RF,20,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.7541677029449089,0.07085858980025697,4719.754070690893,1119.4747507916045,51.622412453984964,4.700875424351443,0.7664415558124129,4938.151451861319,50.07154032014107,19.0
RF,XGB,30,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.7400376178533554,0.06825410897121598,5010.835870425404,1107.7148321390703,53.01958327934951,5.732508637382171,0.7663951381387982,4939.132865756028,51.25492413805764,20.0
XGB,RF,14,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.7586466198602222,0.0730257495092297,4618.418388925125,1117.8175668703805,50.89760211243734,4.865926991734242,0.7654786133434404,4958.51104865413,50.69680197101846,21.0
