mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.06650590896606445,0.010211903470714183,0.002613997459411621,0.0010222891219534807,,1,2,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6423721503184794,0.7510011888952962,0.43370356784896813,0.407804142125164,0.5512409081422396,0.7826904134211605,0.5818675148304415,0.7972609534196367,0.7156735799133815,0.6284962695502964,0.6292110688465062,0.13032419778949544,107
0.15548243522644042,0.00718367919451225,0.005265522003173828,0.0025670145322807983,,1,2,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6519860043531165,0.7534358279210224,0.4313668679096617,0.407473415711616,0.5534657150924216,0.7910867979247032,0.5792092820314496,0.7960498763981116,0.7105777323708498,0.6250097052877417,0.6299661225000694,0.13159383120612742,101
0.24520933628082275,0.011375972914953205,0.006338572502136231,0.001736884599682968,,1,2,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6496668633593916,0.7560705402054435,0.42775546821385213,0.41087733673621707,0.5536688594864554,0.785112631904744,0.5816977118841382,0.793465780107886,0.7123255184448253,0.6252846365077536,0.6295925346850708,0.1307427887371108,104
0.07464122772216797,0.005916055101487327,0.0022472381591796876,0.0006190684582368962,,1,5,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.6357724194559798,0.7541673064660138,0.4476212068155093,0.45220110335388175,0.5694626769254478,0.792095772945387,0.6186127704848228,0.7823473958469654,0.7102113634218445,0.6376660630111899,0.6400158078727042,0.11793811303104736,95
0.1594374179840088,0.005919330305420545,0.004896116256713867,0.002598230689865887,,1,5,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6414516426960524,0.7555460893903219,0.44810999111157157,0.451024029047729,0.568945664508942,0.7963398439142344,0.6182196676739473,0.7806467800548387,0.7068090752291403,0.6398061516091746,0.6406898935235953,0.11836054863472499,89
0.24011845588684083,0.03259644267064824,0.006461143493652344,0.0021217305597625163,,1,5,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6417303140546408,0.7560478153874897,0.44521129939366144,0.4490878692457051,0.572091471868559,0.7943133799194404,0.6145611654205471,0.7805052642725583,0.7097251733994329,0.6381584115117986,0.6401432164473834,0.11896974663687515,92
0.07046406269073487,0.01135657864046294,0.002645707130432129,0.0008871734633859666,,1,10,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6360063037531767,0.7602446737065102,0.44668593322803096,0.49472225755057486,0.5814617820205741,0.7973666949289573,0.6408262019843594,0.7658972051019793,0.7050642949796864,0.6540609042639546,0.6482336251517804,0.10988431016547283,77
0.14072806835174562,0.00730594960122981,0.00401148796081543,0.0011047647017120438,,1,10,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.6380767425607292,0.7587982930511115,0.4488298304422885,0.4954570210036656,0.5784352207632084,0.7990321066644475,0.6415509256685152,0.7679921751925834,0.70164655528306,0.6572457585614739,0.6487064629191084,0.10970914461952094,67
0.20992305278778076,0.006081795044171538,0.006424355506896973,0.001537098939432704,,1,10,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300, 'random_state': 42}",0.63811197441604,0.7599130063279325,0.44811293483281534,0.4905370429101388,0.5821094211330996,0.8001037287873043,0.6397115210041564,0.7668423495342891,0.7046055330015315,0.6562254315746405,0.6486272943521948,0.11059337251489532,70
0.07476866245269775,0.0030016339459137077,0.003115677833557129,0.0016210487801080803,,2,2,100,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6539613196424935,0.760963335044164,0.4536717892454143,0.46319871059014384,0.5804482944878234,0.7991532063927846,0.6300924728180934,0.7806836939111899,0.7214118267110192,0.6336094454108603,0.6477194094253986,0.116465868987718,83
0.1516136646270752,0.008206805425027188,0.005249834060668946,0.002705183323252863,,2,2,200,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6601948927213335,0.760320815016546,0.450195459413694,0.4615691383816688,0.5864497953923333,0.8043504301765177,0.6263967825400942,0.780048449849041,0.7234524894416482,0.6323670027851225,0.6485345255717999,0.11777935801300442,74
0.24977483749389648,0.02255625941997577,0.010280871391296386,0.005307618520826896,,2,2,300,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6666105844054527,0.7602780473430478,0.4465349728229373,0.46590310218841213,0.588436146304778,0.8035308161666798,0.626078075885904,0.7790103356917373,0.7242441741391523,0.63207185407463,0.6492698109022731,0.117529942193498,59
