mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.10086967945098876,0.014847557633454278,0.0036029815673828125,0.001197231418812279,,1,2,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6522084178247154,0.7500968097977996,0.5295282766015454,0.5881892266085499,0.6688544824133786,0.8184718563755148,0.5988189518541147,0.7806299772910714,0.7378586509485763,0.6718007015472172,0.6796457351262484,0.08728454723694908,95
0.25353958606719973,0.02031344685713301,0.0065490007400512695,0.002570785288475399,,1,2,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.656345909952657,0.7578219689602931,0.5424120311770595,0.6041416280333772,0.6654576892883826,0.8221590084888699,0.5965685084221468,0.7882892922034388,0.7362781292350871,0.674698927536024,0.6844173093297335,0.08567903282693877,40
0.3851775646209717,0.023676253797706725,0.010408639907836914,0.004055271115589909,,1,2,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6660241812273426,0.7522763389993475,0.5345422831679902,0.6132215993964345,0.6653372845906893,0.8160808271217064,0.5977877715223383,0.7902961728116165,0.7345930093952859,0.6716105358554181,0.6841770004088169,0.08459898598886159,43
0.11307463645935059,0.006734744571230483,0.002678513526916504,0.0008146724349872344,,1,5,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",0.6551059864543971,0.7493971378349784,0.5384183731102825,0.5965160864799565,0.6672273982616945,0.8235982161826065,0.6059374922759883,0.7750666694083422,0.7315636195743307,0.6795340493203529,0.6822365028902929,0.08388451215216819,55
0.21488218307495116,0.007096471573840589,0.004689526557922363,0.0013053126312306735,,1,5,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'random_state': 42}",0.6577611177676711,0.7559639533822413,0.5510391504758096,0.6093733939179944,0.6644898449029899,0.8239671680432071,0.6028370442468745,0.7797772356667221,0.7328816412283129,0.6756742660927775,0.6853764815724601,0.08202862402130016,25
0.31672608852386475,0.007605432080602809,0.007299017906188965,0.0016983571727387102,,1,5,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'random_state': 42}",0.6663045809526174,0.7526367813711106,0.5412591393129682,0.6181463976531956,0.6667051058142146,0.8189323339049397,0.6048203750394081,0.7826382585621715,0.7309769452348618,0.6736847108486641,0.6856104628694151,0.08156460978287117,19
0.1004641056060791,0.003191379161503888,0.0025063276290893553,0.000699136797765685,,1,10,100,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6563220849840579,0.769841787914911,0.5302066569442312,0.6085179042701734,0.6611863204610209,0.8351406546511443,0.5893991316403183,0.7724002114795835,0.7298773065608642,0.6845223815020087,0.6837414440408314,0.0892843958653985,46
0.20162482261657716,0.00485340296121638,0.005141496658325195,0.0012584492648532303,,1,10,200,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200, 'random_state': 42}",0.6520700383060751,0.7683253933730178,0.5425516341546943,0.6180034777958284,0.658907363318745,0.835296482881483,0.5911723846570741,0.777102108092391,0.7243250797788632,0.6839159745118628,0.6851669936870034,0.08655126272381468,31
0.3035191297531128,0.021167040436842616,0.006345009803771973,0.001778452231676729,,1,10,300,42,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300, 'random_state': 42}",0.6617146716829807,0.7641603096336719,0.534510106880847,0.6246236478491131,0.6589442493571327,0.8298787273743111,0.596352481677594,0.7817583053946177,0.7235341971875138,0.681696472000872,0.6857173169038654,0.08572107391746579,16
0.10394694805145263,0.008193588486919742,0.002598881721496582,0.0006638770643736624,,2,2,100,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6543886881084442,0.7569837517698238,0.5371690522185701,0.6044617828116696,0.6657193532046517,0.8282699464340458,0.5968370378129053,0.7733199983640978,0.7296260171000382,0.6740910751587327,0.682086670298298,0.08541420756115929,59
0.2484306812286377,0.019484274313168827,0.005694174766540527,0.0019758221272313087,,2,2,200,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200, 'random_state': 42}",0.6571870573446903,0.7642703130373543,0.5434361894894042,0.6151088047323086,0.6625377239355088,0.8274820935693971,0.5965570090356729,0.7805230832642603,0.730731253612758,0.6742717762158699,0.6852105304237224,0.08481801457433467,28
0.36053297519683836,0.029040226309930743,0.008002114295959473,0.0018463291136332164,,2,2,300,42,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6605724127178956,0.7636959963843655,0.5343926983920742,0.6252095324404519,0.6647283461487083,0.8236462087755563,0.6021507400765113,0.7843007632419741,0.7305035508526667,0.6718928505962112,0.6861093099626415,0.08463784236600992,7
