FS_Method,Model,Features_Used,Best_Params,CV_R2,CV_MSE,CV_MAE,Test_R2,Test_MSE,Test_MAE,R2_Rank
RF_XGB,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6492303201072676,7861.2869927704205,65.32257252492141,0.7469377268128713,8998.253588714111,74.74143270080947,34.0
XGB,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6739474200922665,7270.275732075024,61.224072896948655,0.7465136147418169,9013.333939954615,71.70345758214738,35.0
RFE_RF,RF,30,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6799889121803304,7183.917389620396,61.30315772425312,0.7459660653918805,9032.803408244024,72.46412002792692,36.0
RF_XGB,RF,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.6519270332916374,7730.025737670011,65.69641930013883,0.7420947580944188,9170.457292182075,73.01367236515938,37.0
RFE_RF,RF,25,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",0.678838423603913,7211.955686130794,60.96406141593214,0.7403220313695807,9233.490965327768,71.41169631059674,38.0
RF_XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 0.8}",0.6003291613988996,8839.804055689325,68.74504099742471,0.7388472233738013,9285.93140290684,75.93145975876172,39.0
RF,RF,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6464836476936167,7862.542578107433,65.64781560258437,0.7355270862486816,9403.987071279971,70.93272336967411,40.0
RFE_RF,RF,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 42}",0.6609660808007384,7588.103298462869,64.70207179666473,0.7347537249169951,9431.485841802256,70.80558721748628,41.0
RF,RF,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6322947239759309,8328.33338855143,67.19529557393525,0.7236993445145197,9824.551615198005,77.5087754144053,42.0
RFE_RF,RF,5,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300, 'random_state': 42}",0.6337637294518379,8237.84569266274,67.07221714859328,0.7234679468803951,9832.779529084411,77.8598106053129,43.0
XGB,XGB,5,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.5996196062878564,8859.993472134716,68.79235894508489,0.7205693921543381,9935.844794947012,78.54520542895312,44.0
RF,XGB,20,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'random_state': 42, 'subsample': 1.0}",0.6307896238126174,9003.793184864993,66.09690540923452,0.7049187340810878,10492.34256286687,76.67630551335156,45.0
