Dataset,Method,Top_K,Meta_Model,FS_Method,Best_n,R2,MSE,MAE,Selected_Features
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,30,LinearRegression,RF_XGB,3,0.7770815504271227,4713.188894685585,49.768269888309874,"['pred_RFE_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,30,RandomForest,RF_XGB,22,0.7507508926348723,5269.9008408434065,52.657205334920626,"['pred_RFE_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_Top36', 'pred_RF_XGB_Top30', 'pred_RFE_RF_RF_Top5', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top20', 'pred_RFE_RF_XGB_Top35', 'pred_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_XGB_Top17', 'pred_RF_XGB_Top25', 'pred_RFE_RF_XGB_Top30', 'pred_RF_XGB_Top35', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_RF_Top10']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,30,XGBoost,RF_XGB,29,0.7507013111533835,5270.94914747026,52.59884282070435,"['pred_RFE_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_Top36', 'pred_RF_XGB_Top30', 'pred_RFE_RF_RF_Top5', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top20', 'pred_RFE_RF_XGB_Top35', 'pred_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_XGB_Top17', 'pred_RF_XGB_Top25', 'pred_RFE_RF_XGB_Top30', 'pred_RF_XGB_Top35', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_RF_Top10', 'pred_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top20', 'pred_RFE_RF_XGB_Top10', 'pred_RF_XGB_XGB_Top10', 'pred_XGB_XGB_Top10', 'pred_XGB_RF_Top10']"
prf2000_mean_raw_Aug_9input_QMinMax,RandomAverage,37,None,None,37,0.7756553430950165,4743.343350595724,49.00236150419841,"['pred_RF_XGB_Top25', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top30', 'pred_RF_XGB_XGB_Top10', 'pred_RF_XGB_XGB_Top5', 'pred_RF_XGB_Top35', 'pred_XGB_XGB_Top20', 'pred_RFE_RF_RF_Top5', 'pred_RF_RF_Top16', 'pred_RF_XGB_Top5', 'pred_RF_RF_Top15', 'pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top10', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_XGB_Top15', 'pred_RFE_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top10', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_XGB_Top10', 'pred_XGB_RF_Top14', 'pred_XGB_RF_Top5', 'pred_RFE_RF_XGB_Top25', 'pred_RFE_RF_XGB_Top20', 'pred_XGB_RF_Top10', 'pred_RF_XGB_Top15', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_Top20', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_Top30', 'pred_RFE_RF_XGB_Top5', 'pred_RF_XGB_XGB_Top15', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top36', 'pred_RF_XGB_RF_Top10']"
prf2000_mean_raw_Aug_9input_QMinMax,TopKAverage,37,None,None,37,0.7756553430950165,4743.343350595724,49.00236150419842,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_RF_Top16', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_RF_Top10', 'pred_RFE_RF_RF_Top15', 'pred_XGB_RF_Top10', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top20', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_Top35', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_Top25', 'pred_RF_XGB_Top30', 'pred_XGB_XGB_Top10', 'pred_RF_XGB_XGB_Top10', 'pred_RFE_RF_XGB_Top30', 'pred_RFE_RF_XGB_Top15', 'pred_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top20', 'pred_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top5', 'pred_RF_RF_Top5', 'pred_RF_XGB_RF_Top5', 'pred_XGB_RF_Top5', 'pred_RF_XGB_Top5', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_XGB_Top5']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,LinearRegression,RF,2,0.7750083167203748,4757.023499230225,49.866278302727814,"['pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,RandomForest,RF,2,0.7821796169732291,4605.399922191309,48.545371326984124,"['pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,XGBoost,RF,21,0.754376782094481,5193.238267749391,54.23344948370713,"['pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RFE_RF_RF_Top15', 'pred_RF_XGB_Top5', 'pred_RF_XGB_Top36', 'pred_RF_XGB_RF_Top15', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_RF_XGB_XGB_Top17', 'pred_RF_XGB_Top20', 'pred_RF_XGB_XGB_Top5', 'pred_RFE_RF_XGB_Top5', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top35', 'pred_XGB_XGB_Top5', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top15', 'pred_RFE_RF_RF_Top10']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,LinearRegression,RFE_RF,3,0.775034128550304,4756.477756917705,49.941710121956554,"['pred_RF_XGB_XGB_Top15', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,RandomForest,RFE_RF,3,0.7887287901935018,4466.930044304105,48.37896686031744,"['pred_RF_XGB_XGB_Top15', 'pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,XGBoost,RFE_RF,24,0.7432849454028532,5427.754170837777,53.691427746547205,"['pred_RF_XGB_XGB_Top17', 'pred_XGB_RF_Top14', 'pred_RF_XGB_RF_Top15', 'pred_RF_XGB_Top36', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top15', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35', 'pred_RFE_RF_RF_Top20', 'pred_RF_XGB_RF_Top10', 'pred_RFE_RF_RF_Top15', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top20', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top5', 'pred_RF_XGB_Top35', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_Top30', 'pred_RF_XGB_Top15', 'pred_RFE_RF_XGB_Top5', 'pred_RF_RF_Top5', 'pred_RF_XGB_Top5', 'pred_XGB_XGB_Top5']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,LinearRegression,XGB,7,0.7755763130098576,4745.014292235729,49.85652978403446,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top10', 'pred_RFE_RF_XGB_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,RandomForest,XGB,32,0.7538678563008299,5203.998540860259,51.38698294920635,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top10', 'pred_RFE_RF_XGB_Top30', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_XGB_Top25', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RFE_RF_XGB_Top35', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top36', 'pred_RF_XGB_Top15', 'pred_XGB_RF_Top10', 'pred_XGB_XGB_Top5', 'pred_RF_RF_Top10', 'pred_RF_XGB_Top5', 'pred_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top15', 'pred_RF_RF_Top16', 'pred_RF_XGB_Top25', 'pred_RF_XGB_RF_Top10', 'pred_RFE_RF_XGB_Top10', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_RF_Top5', 'pred_RFE_RF_XGB_Top20', 'pred_RF_XGB_Top20', 'pred_RF_XGB_Top35', 'pred_RFE_RF_XGB_Top5', 'pred_RF_XGB_Top30', 'pred_RFE_RF_RF_Top5', 'pred_XGB_XGB_Top10', 'pred_RFE_RF_RF_Top20']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,XGBoost,XGB,3,0.73019888203845,5704.434224204528,53.18693097223493,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RFE_RF_RF_Top10']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,LinearRegression,RF_XGB,3,0.775034128550304,4756.477756917705,49.941710121956554,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,RandomForest,RF_XGB,3,0.7827023435890799,4594.3478568037,48.60943144920632,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15']"
prf2000_mean_raw_Aug_9input_QMinMax,FS_MetaModel,37,XGBoost,RF_XGB,26,0.724951900303523,5815.3717266457115,54.76658947296137,"['pred_RFE_RF_RF_Top15', 'pred_RF_RF_Top5', 'pred_RF_XGB_XGB_Top15', 'pred_XGB_XGB_Top20', 'pred_RF_XGB_RF_Top15', 'pred_RFE_RF_RF_Top10', 'pred_RF_XGB_Top5', 'pred_RF_XGB_Top36', 'pred_RFE_RF_XGB_Top30', 'pred_RF_RF_Top10', 'pred_RFE_RF_RF_Top20', 'pred_RF_RF_Top15', 'pred_RFE_RF_XGB_Top35', 'pred_RF_XGB_Top20', 'pred_RF_XGB_XGB_Top17', 'pred_RFE_RF_XGB_Top25', 'pred_XGB_RF_Top14', 'pred_RF_XGB_Top15', 'pred_XGB_XGB_Top5', 'pred_RF_XGB_XGB_Top5', 'pred_RFE_RF_XGB_Top5', 'pred_XGB_XGB_Top15', 'pred_RF_XGB_Top35', 'pred_RF_XGB_RF_Top10', 'pred_RFE_RF_XGB_Top10', 'pred_RFE_RF_XGB_Top20']"
