FS_Method,Model,CV_R2,CV_MSE,CV_MAE,test_r2,test_mse,test_mae,Features_Used
RF,RF,0.691605734118071,6995.8028127592725,60.458045371248,0.7750234700599018,7999.595682178126,70.91068361498398,31
RF,XGB,0.6537771940604293,8371.835455767567,64.64234742069533,0.733898038783998,9461.911873782776,73.18008673159375,21
RFE_RF,RF,0.6831978225203634,7102.117180899841,61.15543318785457,0.799979418150962,7112.225365607497,67.61198544213596,35
RFE_RF,XGB,0.6432854371957235,8451.168753426184,65.14034237114339,0.786624076444268,7587.1074961094155,66.09004979463282,36
XGB,RF,0.6891110533144403,7016.008354403559,60.43122029109436,0.7492194330328288,8917.121893643383,74.37163613339199,27
XGB,XGB,0.6614481088102654,8154.481102042439,63.34148325863966,0.7631527030375338,8421.690096389077,66.12001882633203,16
RF_XGB,RF,0.6895585320862975,7040.604397799312,60.583125288912484,0.769559908837959,8193.86608350402,69.22435376803993,27
RF_XGB,XGB,0.6724741873149261,8086.371301004219,63.61717194925727,0.7508858014542257,8857.870052430106,68.0182221962383,15
