Model,CV R2,CV MAE,CV MSE,Validation R2,Validation MAE,Validation MSE
Random Forest,0.6408379962057273,64.14264571750002,6699.750211223572,0.6015782928589944,53.21810152000002,4458.753041393375
Gradient Boosting,0.6529201318461406,62.32961576191724,6525.1454307224985,0.6701363970307994,49.22366937698526,3691.516593154337
Linear Regression,0.7008891880104754,58.26916524981601,5708.586736029171,0.7009876160878614,47.17240130449123,3346.2593836803426
