FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RF,RF,5,1,0.6298525344131234,5360.778110444077,56.50632997192982
RF,RF,5,2,0.5031874492892838,9083.522124760455,65.51358358214283
RF,RF,5,3,0.7809369734546323,5237.144355383604,54.8360962767857
RF,RF,5,4,0.7058543909519395,4840.232331209234,49.6736000232143
RF,RF,5,5,0.7940693836548212,4080.211875599239,47.56401067321428
RF,RF,5,6,0.7455186293263005,4654.29205886099,53.44672250714289
RF,RF,5,7,0.7397614067860692,7513.828500906851,64.9411660982143
RF,RF,5,8,0.7499035476168536,5008.5068126739725,51.01061770000001
RF,RF,5,9,0.729640931319878,4581.058096042724,51.79627228571428
RF,RF,5,10,0.7683686423638807,4868.339975092157,50.73356044999998
RF,RF,10,1,0.6798151043577101,4637.179339138677,53.45054269298247
RF,RF,10,2,0.6090394049759171,7148.167270996781,59.34742059464286
RF,RF,10,3,0.8105290219521527,4529.686633297713,52.28265810357142
RF,RF,10,4,0.6936169177645078,5041.602712245366,54.006632582142856
RF,RF,10,5,0.8091492803747078,3781.4259312297186,46.773388846428574
RF,RF,10,6,0.6858383779201398,5745.803470698998,58.42632808571432
RF,RF,10,7,0.8039944704803988,5659.237224776394,54.72261417678572
RF,RF,10,8,0.783585846646681,4333.974956864329,48.939037891071436
RF,RF,10,9,0.7470482035540086,4286.103220707902,48.570750982142854
RF,RF,10,10,0.8353799443774543,3459.9218588880894,45.69311411071425
RF,RF,15,1,0.7011052914534079,4328.837449592256,50.938758370175435
RF,RF,15,2,0.6087948987345406,7152.637725396549,59.69163769821428
RF,RF,15,3,0.8207310290438995,4285.787036470679,50.80620124642855
RF,RF,15,4,0.6976909804214259,4974.563092462481,53.483357328571415
RF,RF,15,5,0.8103616516728104,3757.404579495103,45.969519273214296
RF,RF,15,6,0.7067913107702908,5362.5885079843065,56.73968238928575
RF,RF,15,7,0.8045112254255256,5644.317039469805,55.188525976785705
RF,RF,15,8,0.8128916207680071,3747.0887058251355,47.67115893035717
RF,RF,15,9,0.743805471333048,4341.049203347405,49.676263898214295
RF,RF,15,10,0.844010975505594,3278.518121949342,43.748045083928545
RF,RF,16,1,0.7001902580430234,4342.089711279195,51.20365639473682
RF,RF,16,2,0.6061874418413905,7200.311425153945,59.992842103571434
RF,RF,16,3,0.8204919996799813,4291.501516471052,50.76206784464286
RF,RF,16,4,0.6996199249295045,4942.821875575626,53.137408489285725
RF,RF,16,5,0.8200488688156876,3565.466638797527,44.712068671428575
RF,RF,16,6,0.7086863385046254,5327.929733112552,56.82879122321432
RF,RF,16,7,0.8009678622052311,5746.624015636969,55.34759703392857
RF,RF,16,8,0.8171368993701851,3662.07147907882,46.33229378928571
RF,RF,16,9,0.7467169199161982,4291.71660589408,49.497273885714286
RF,RF,16,10,0.849871006513996,3155.354213985292,43.918123253571416
RF,XGB,5,1,0.6107397916895607,5637.584471013297,56.662568921369584
RF,XGB,5,2,0.4415566478500619,10210.355067364328,68.68426056089656
RF,XGB,5,3,0.7611274011976864,5710.732213472207,57.84680127967289
RF,XGB,5,4,0.7268072055896899,4495.449041165619,47.11561254852201
RF,XGB,5,5,0.708688996668995,5771.898498529032,55.00474953425816
RF,XGB,5,6,0.7261877393016631,5007.840955953926,52.16756920055745
RF,XGB,5,7,0.692743209267547,8871.377618479584,70.5873760312501
RF,XGB,5,8,0.7004521416110976,5998.835549911296,54.40319170249121
RF,XGB,5,9,0.6878030081340587,5289.974418575176,53.27554844236515
RF,XGB,5,10,0.769813274890482,4837.977236858677,50.41790456699831
RF,XGB,10,1,0.6475623445776284,5104.2901657826915,58.16487239356325
RF,XGB,10,2,0.6090876758406264,7147.2847057980125,60.62590875154676
RF,XGB,10,3,0.7495350838120007,5987.869987562469,61.304084279332834
RF,XGB,10,4,0.6334377264929621,6031.864875944595,59.5514263000802
RF,XGB,10,5,0.7641169050912106,4673.676125393084,52.547312548457555
RF,XGB,10,6,0.6897394279328796,5674.455905855852,55.25873904302674
RF,XGB,10,7,0.8047309083211609,5637.974169328983,54.15650603673041
RF,XGB,10,8,0.8067023819553903,3871.036264708407,44.894137777906145
RF,XGB,10,9,0.6960355865619238,5150.478746236921,53.375655613774875
RF,XGB,10,10,0.8058233609789343,4081.1309125957755,44.40228834587088
RF,XGB,15,1,0.674817677682095,4709.55615654768,55.137138760536594
RF,XGB,15,2,0.6415676169150804,6553.434443886031,57.030395535221864
RF,XGB,15,3,0.7995055393704409,4793.225261837227,54.594132135129655
RF,XGB,15,4,0.6111794784627027,6398.129366857097,61.64184327768375
RF,XGB,15,5,0.7830397628743515,4298.747567331421,48.939963281271794
RF,XGB,15,6,0.7139546047800132,5231.576708038107,55.32099178364988
RF,XGB,15,7,0.7940404063051869,5946.639374380235,55.534119977388386
RF,XGB,15,8,0.7948319965822838,4108.7561741423415,47.30356656416859
RF,XGB,15,9,0.6957818345903111,5154.778407903972,52.0913479480522
RF,XGB,15,10,0.7930016830456578,4350.612073813964,47.87395167193108
RF,XGB,20,1,0.6898442272454685,4491.929384884891,51.62410799526281
RF,XGB,20,2,0.6145687794229446,7047.070398436276,58.5725828100676
RF,XGB,20,3,0.7964741468259143,4865.696826773958,51.91272792643411
RF,XGB,20,4,0.6044588488902138,6508.718842076926,62.91835572931304
RF,XGB,20,5,0.8483337189783489,3005.0439897447527,44.770492416774196
RF,XGB,20,6,0.740961447166977,4737.6398366522335,54.60389826842495
RF,XGB,20,7,0.7965286215580489,5874.797521669418,56.165318505013765
RF,XGB,20,8,0.8251619849326858,3501.358700752401,44.924656505538394
RF,XGB,20,9,0.6993616058347784,5094.1215188212145,53.57870133236803
RF,XGB,20,10,0.8482315717998206,3189.8112306734743,40.17930083399637
RF,XGB,25,1,0.6819899804848586,4605.681005584348,53.32755476318359
RF,XGB,25,2,0.5985258970620237,7340.392047943491,57.89821547087815
RF,XGB,25,3,0.7804541855583826,5248.686375712479,56.098025535441806
RF,XGB,25,4,0.6308728095668561,6074.071162391577,60.47355879848035
RF,XGB,25,5,0.8424006205534826,3122.59959697734,43.23058014007568
RF,XGB,25,6,0.7696792849547932,4212.410017236988,48.72199457751411
RF,XGB,25,7,0.8055443146911212,5614.4888134870735,56.79043862625883
RF,XGB,25,8,0.7835181107292157,4335.3314567300995,48.124978413645024
RF,XGB,25,9,0.7014617364469081,5058.536175261582,53.830695193675396
RF,XGB,25,10,0.813384502467801,3922.2137100924583,45.29950314847627
RF,XGB,30,1,0.7071330131724827,4241.539057325188,49.82827498972039
RF,XGB,30,2,0.633373644778344,6703.249755691739,59.426535704082404
RF,XGB,30,3,0.7900841185193733,5018.4633670892945,53.060532786723535
RF,XGB,30,4,0.6228382122554575,6206.2822730749385,59.893591452099926
RF,XGB,30,5,0.8234390728937347,3498.294737962896,46.006982031250004
RF,XGB,30,6,0.7663816772135844,4272.7210312908455,49.49764098365784
RF,XGB,30,7,0.7750783916254681,6494.126680453861,62.03067451061673
RF,XGB,30,8,0.7326888417058208,5353.253693375416,54.512797774402074
RF,XGB,30,9,0.7174338258183119,4787.899537538295,52.09920845721046
RF,XGB,30,10,0.8319253805509776,3532.5285704515723,43.83959410373171
RF,XGB,35,1,0.6045862367661856,5726.705282585898,58.195862423502604
RF,XGB,35,2,0.6289675048540273,6783.80985714261,59.254780294931024
RF,XGB,35,3,0.7829810982132908,5188.2754220435845,56.57024034230777
RF,XGB,35,4,0.6195677879480632,6260.097842583699,62.35420932332833
RF,XGB,35,5,0.8242127765210862,3482.964940070086,45.34377297313144
RF,XGB,35,6,0.8049266370194512,3567.7598003031712,45.97631686144863
RF,XGB,35,7,0.8040311842189755,5658.177194702127,54.06599781949176
RF,XGB,35,8,0.7794979148381698,4415.841109372995,49.51184209969589
RF,XGB,35,9,0.7634496375907516,4008.191617640391,49.006794388713466
RF,XGB,35,10,0.8101665061321642,3989.8483359063403,46.959973284205354
RF,XGB,36,1,0.6609869975258433,4909.8633700973705,55.18834994431881
RF,XGB,36,2,0.6707024154720966,6020.745430867932,56.173586035184435
RF,XGB,36,3,0.8040130007394075,4685.4652886557,54.117296205531524
RF,XGB,36,4,0.6571654684330768,5641.419531352124,61.420590200658445
RF,XGB,36,5,0.8322110811261518,3324.4903139389853,44.08363456176757
RF,XGB,36,6,0.7798098769418031,4027.1283452942557,48.88384023619822
RF,XGB,36,7,0.8076343833124291,5554.1425866585105,55.116095682358264
RF,XGB,36,8,0.8130168212315998,3744.5814036667953,46.08025594167028
RF,XGB,36,9,0.7225858223163067,4700.602316908174,50.95569902419832
RF,XGB,36,10,0.8343286336042193,3482.0179097674595,42.70020296023405
RFE_RF,RF,5,1,0.6814761424736273,4613.122827612105,52.29681469298246
RFE_RF,RF,5,2,0.5651157267666448,7951.250249162326,61.92666956249999
