Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,10,None,None,10,1,0.7829070028914886,4088.0134384852486,50.586216251323116
RandomAverage,10,None,None,10,2,0.8866865883575952,2692.556351086086,39.361752317638725
RandomAverage,10,None,None,10,3,0.7595529295540728,3671.3594454637464,48.81284097315996
RandomAverage,10,None,None,10,4,0.7452046930479933,5277.090621494896,55.6562212246249
RandomAverage,10,None,None,10,5,0.7028013135096878,6124.862339928305,58.36963527642398
RandomAverage,10,None,None,10,6,0.7701236509092673,5177.481237566414,54.761275489239914
RandomAverage,10,None,None,10,7,0.843582560697735,2989.142212363079,42.584212411560124
RandomAverage,10,None,None,10,8,0.707839215842185,5634.839710643641,54.443523668359546
RandomAverage,10,None,None,10,9,0.7586252307417457,4158.968820063313,49.48673694106018
RandomAverage,10,None,None,10,10,0.7070620027657498,6093.231861068112,50.97102093248281
TopKAverage,10,None,None,10,1,0.7874885148800297,4001.74035355301,49.64461826514358
TopKAverage,10,None,None,10,2,0.8989390765026838,2401.412396513639,38.05982652345734
TopKAverage,10,None,None,10,3,0.7618238138040186,3636.685567653002,48.43918716819633
TopKAverage,10,None,None,10,4,0.7625976919977928,4916.862512368278,52.797163019456626
TopKAverage,10,None,None,10,5,0.7256183157827141,5654.634831245583,56.674192538817174
TopKAverage,10,None,None,10,6,0.7772188177612949,5017.677528315419,53.14682944704395
TopKAverage,10,None,None,10,7,0.8535400901138471,2798.853510276413,41.865531479473304
TopKAverage,10,None,None,10,8,0.7354453328497192,5102.406705238294,51.39940283864056
TopKAverage,10,None,None,10,9,0.7571561067429774,4184.282322889065,49.20109804817925
TopKAverage,10,None,None,10,10,0.7450737688150693,5302.571358934727,48.5815610835347
FS_MetaModel,10,LinearRegression,RF,6,1,0.7848465006235199,4051.491335524498,48.92666372525094
FS_MetaModel,10,LinearRegression,RF,6,2,0.8924114127496915,2556.5229190997966,39.42790242114622
FS_MetaModel,10,LinearRegression,RF,6,3,0.7464402115274087,3871.576071491312,49.596268276238746
FS_MetaModel,10,LinearRegression,RF,6,4,0.7605021598399586,4960.263284656564,52.93376130546965
FS_MetaModel,10,LinearRegression,RF,6,5,0.7130814549899052,5913.002549614694,58.925541563006846
FS_MetaModel,10,LinearRegression,RF,6,6,0.762577166541245,5347.449924556488,54.8035363587314
FS_MetaModel,10,LinearRegression,RF,6,7,0.8525782595447313,2817.234122873768,42.80875152692247
FS_MetaModel,10,LinearRegression,RF,6,8,0.726715000912046,5270.786665031011,52.73229916470815
FS_MetaModel,10,LinearRegression,RF,6,9,0.7416947621814836,4450.686513124493,51.54541075507768
FS_MetaModel,10,LinearRegression,RF,6,10,0.7494200827653462,5212.1662258005135,48.92704201085707
FS_MetaModel,10,LinearRegression,RFE_RF,6,1,0.7848465006235199,4051.491335524496,48.926663725250904
FS_MetaModel,10,LinearRegression,RFE_RF,6,2,0.8924114127496916,2556.522919099795,39.427902421146214
