Method,Top_K,Meta_Model,FS_Method,Best_n,Fold,R2,MSE,MAE
RandomAverage,10,None,None,10,1,0.6073671826434335,6227.377715801849,55.94812412737684
RandomAverage,10,None,None,10,2,0.3460679639781832,15328.010313399634,88.44535476620871
RandomAverage,10,None,None,10,3,0.8269995027335644,8423.990043783095,66.17280589492782
RandomAverage,10,None,None,10,4,0.5599954541050844,8257.97077090062,68.63511385221433
RandomAverage,10,None,None,10,5,0.8037157711996749,5963.743231992424,61.18929610154944
RandomAverage,10,None,None,10,6,0.8276631893470583,8177.696246311286,65.26023464966205
RandomAverage,10,None,None,10,7,0.6176346884697725,5273.8375788572275,52.421010552167495
RandomAverage,10,None,None,10,8,0.590377857105014,5236.856131841543,53.536206344117346
RandomAverage,10,None,None,10,9,0.8680058495243307,5645.775715635199,56.46648274607799
RandomAverage,10,None,None,10,10,0.8280330175754798,4846.624233803709,49.56335447598871
TopKAverage,10,None,None,10,1,0.6038063965293023,6283.853789929243,56.41417763900651
TopKAverage,10,None,None,10,2,0.3866009116152378,14377.927728070334,84.53060171169479
TopKAverage,10,None,None,10,3,0.8402530577149184,7778.628805105779,63.300737921465625
TopKAverage,10,None,None,10,4,0.5154628887793784,9093.75446050989,70.5992321621652
TopKAverage,10,None,None,10,5,0.8323720121194967,5093.074896158972,57.56237374789002
TopKAverage,10,None,None,10,6,0.8301999848799199,8057.320667651432,68.00240991490773
TopKAverage,10,None,None,10,7,0.6376934468880711,4997.1737949269245,50.69590554208907
TopKAverage,10,None,None,10,8,0.6150073290560466,4921.978131596691,53.38195767446902
TopKAverage,10,None,None,10,9,0.8834864673793131,4983.62443064474,52.30794377331552
TopKAverage,10,None,None,10,10,0.8425103715794691,4438.602334670327,47.733245014099545
FS_MetaModel,10,LinearRegression,RF,3,1,0.5747747560799656,6744.31196559719,56.15169325999361
FS_MetaModel,10,LinearRegression,RF,3,2,0.3852731477040917,14409.050196159858,85.92317612635692
FS_MetaModel,10,LinearRegression,RF,3,3,0.8422991764734693,7678.9962357040595,61.60264723810021
FS_MetaModel,10,LinearRegression,RF,3,4,0.502376438550262,9339.359930942228,73.27999949265418
FS_MetaModel,10,LinearRegression,RF,3,5,0.8275092795307009,5240.8202791816775,58.640960297211514
FS_MetaModel,10,LinearRegression,RF,3,6,0.8188002399734712,8598.259372372551,67.61185621120916
FS_MetaModel,10,LinearRegression,RF,3,7,0.6255877767981459,5164.143276499388,51.306543969929706
FS_MetaModel,10,LinearRegression,RF,3,8,0.6117657543396384,4963.42037470999,53.491040494391704
FS_MetaModel,10,LinearRegression,RF,3,9,0.8803140327006265,5119.318736822871,53.89580458196672
FS_MetaModel,10,LinearRegression,RF,3,10,0.8210504399708832,5043.417416749197,50.61650033695259
FS_MetaModel,10,LinearRegression,RFE_RF,3,1,0.5747747560799656,6744.31196559719,56.15169325999361
FS_MetaModel,10,LinearRegression,RFE_RF,3,2,0.36484320933942915,14887.923058637603,87.13206829734008
FS_MetaModel,10,LinearRegression,RFE_RF,3,3,0.8422991764734693,7678.9962357040595,61.60264723810021
FS_MetaModel,10,LinearRegression,RFE_RF,3,4,0.502376438550262,9339.359930942228,73.27999949265418
FS_MetaModel,10,LinearRegression,RFE_RF,3,5,0.8275092795307009,5240.8202791816775,58.640960297211514
FS_MetaModel,10,LinearRegression,RFE_RF,3,6,0.8188002399734711,8598.259372372557,67.61185621120916
FS_MetaModel,10,LinearRegression,RFE_RF,3,7,0.6255877767981459,5164.143276499388,51.306543969929706
FS_MetaModel,10,LinearRegression,RFE_RF,3,8,0.608816417531465,5001.1264724311495,54.798322083806276
FS_MetaModel,10,LinearRegression,RFE_RF,3,9,0.8802505407420952,5122.034473515158,53.94706158719509
FS_MetaModel,10,LinearRegression,RFE_RF,3,10,0.8462442351959842,4333.369146099008,45.766848192995006
FS_MetaModel,10,LinearRegression,XGB,6,1,0.5654352747486697,6892.44140192712,59.07563203665507
FS_MetaModel,10,LinearRegression,XGB,6,2,0.38066926918603916,14516.964006034734,85.53613362471822
FS_MetaModel,10,LinearRegression,XGB,6,3,0.8412464978400341,7730.254783901774,61.1272459916763
FS_MetaModel,10,LinearRegression,XGB,6,4,0.5281467898227385,8855.704001590131,71.48982693150339
FS_MetaModel,10,LinearRegression,XGB,6,5,0.8376137380594454,4933.8144818639,58.95704577962901
FS_MetaModel,10,LinearRegression,XGB,6,6,0.8227865835541639,8409.10009286153,65.5490271733526
FS_MetaModel,10,LinearRegression,XGB,6,7,0.6522022096735205,4797.059255000676,51.228771076427115
FS_MetaModel,10,LinearRegression,XGB,6,8,0.5859443151206466,5293.537202260541,56.70619258358764
FS_MetaModel,10,LinearRegression,XGB,6,9,0.8699903490491766,5560.892869049283,55.804251445591966
FS_MetaModel,10,LinearRegression,XGB,6,10,0.8215505159250127,5029.323547078079,46.36059315789011
FS_MetaModel,10,LinearRegression,RF_XGB,3,1,0.5747747560799656,6744.31196559719,56.15169325999361
FS_MetaModel,10,LinearRegression,RF_XGB,3,2,0.3852731477040917,14409.050196159858,85.92317612635695
FS_MetaModel,10,LinearRegression,RF_XGB,3,3,0.8422991764734693,7678.9962357040595,61.60264723810021
FS_MetaModel,10,LinearRegression,RF_XGB,3,4,0.502376438550262,9339.359930942228,73.27999949265418
