Stage,Model,Mean_R2,Std_R2,CV_Percent,Min_R2,Max_R2,Range_R2
Stage 1,RFE_RF_XGB_Top20,0.7209647788079587,0.08777001550464363,12.173967173509133,0.6025404400600146,0.8138321212579003,0.21129168119788566
Stage 1,RFE_RF_XGB_Top15,0.7344168901087381,0.0774065051347211,10.539859060602522,0.594682265715575,0.8306648833035721,0.2359826175879971
Stage 1,RF_XGB_Top36,0.7582454500702934,0.07293085740595968,9.618370594798636,0.6571654684330768,0.8343286336042193,0.1771631651711425
Stage 1,RF_XGB_Top15,0.7301720600608124,0.07174766186984241,9.82613082509168,0.6111794784627027,0.7995055393704409,0.18832606090773818
Stage 1,RFE_RF_XGB_Top10,0.729374471100124,0.0814802430248468,11.171249646556618,0.5974442846284407,0.8151171987878603,0.21767291415941958
Stage 2,TopKAverage_TopK30,0.7736600087291536,0.05722537638548811,7.396708598068667,0.7198107769456366,0.895176587786404,0.1753658108407674
Stage 2,RandomAverage_TopK20,0.7690740211432793,0.06105780125422898,7.939131939922055,0.7082703188746258,0.8934997376951223,0.18522941882049648
Stage 2,TopKAverage_TopK37,0.7705939064207536,0.06115344778877831,7.935885202210227,0.7097352816779785,0.8953926967643989,0.18565741508642042
Stage 2,RandomAverage_TopK37,0.7705939064207536,0.06115344778877833,7.935885202210229,0.7097352816779785,0.8953926967643989,0.18565741508642042
Stage 2,RandomAverage_TopK30,0.7709894056407036,0.06100679668452269,7.912793125065725,0.7080784225667307,0.8943799260467543,0.1863015034800236
