FS_Method,Model,Features_Used,Fold,R2,MSE,MAE
RF,RF,10,1,0.8095423601730917,6849.483720289294,67.92340038131739
RF,RF,10,2,0.19977718397978284,5865.383270572666,50.36939064783039
RF,RF,10,3,0.8055395088795446,5395.210277873236,61.396146762895626
RF,RF,10,4,0.8157412345397179,6729.460269233342,64.67283114184347
RF,RF,10,5,0.7002105800695657,10016.517393866061,74.65740937990913
RF,RF,10,6,0.6781507061862535,3728.1365542481694,49.38257632609098
RF,RF,10,7,0.7345671072937688,10984.32529411295,77.86966350119097
RF,RF,10,8,0.6207984038942802,3224.249395787364,46.36664711268635
RF,RF,10,9,0.6415739043446234,17639.53748391502,94.07702962716809
RF,RF,10,10,0.6919198690250903,6665.7238223254135,61.80790302258642
RF,RF,70,1,0.827580235882126,6200.782328578688,62.685562559178244
RF,RF,70,2,0.11675287265793766,6473.925537712503,55.852030687626076
RF,RF,70,3,0.8044632992623955,5425.069182137714,60.5924889237652
RF,RF,70,4,0.7298859634768007,9865.048603817615,70.80508454364349
RF,RF,70,5,0.7088695326559564,9727.205819046743,69.08775463167272
RF,RF,70,6,0.7273435915402113,3158.3114913317313,44.58977200638184
RF,RF,70,7,0.7547456864244045,10149.28154771031,76.31913327697276
RF,RF,70,8,0.6476666433481093,2995.795967018761,45.04334492460907
RF,RF,70,9,0.7043417657672958,14550.487725063274,84.03680045094995
RF,RF,70,10,0.7122652941360248,6225.523461438337,56.76454045519095
RF,RF,103,1,0.8323007623588439,6031.016656364867,61.57943866773042
RF,RF,103,2,0.21343147183102917,5765.301605902584,53.26989791117825
RF,RF,103,3,0.8027339735476264,5473.04846994242,60.51020691714782
RF,RF,103,4,0.7665855302298273,8524.714667759605,65.02502499574344
RF,RF,103,5,0.7100705911225151,9687.076240677612,66.6640985806909
RF,RF,103,6,0.7167394312893258,3281.1446254050647,44.65902717591818
RF,RF,103,7,0.7507321701684593,10315.37161921213,77.97310852054551
RF,RF,103,8,0.7077043840931531,2485.3111713068847,39.60202539635907
RF,RF,103,9,0.7133685651610595,14106.243937581987,79.21621037492268
RF,RF,103,10,0.7371429361023933,5687.262554531583,55.89697003627726
RF,XGB,10,1,0.7508419439395274,8960.543931533175,75.96310966925782
RF,XGB,10,2,0.17009063798448154,6082.976379336922,58.20510110637483
RF,XGB,10,3,0.769950674897831,6382.604898597137,63.762544975525664
RF,XGB,10,4,0.8046547144556782,7134.359847515195,64.64206795954696
RF,XGB,10,5,0.7508484829644211,8324.61167133283,66.85982843609708
